cdf,post_attention_layernorm
0.0,0.004001834730761234
0.01,0.004001834730761234
0.02,0.004001834730761234
0.03,0.004001834730761234
0.04,0.004001834730761234
0.05,0.004001834730761234
0.06,0.004001834730761234
0.07,0.004001834730761234
0.08,0.004001834730761234
0.09,0.004001834730761234
0.1,0.004001834730761234
0.11,0.004001834730761234
0.12,0.004001834730761234
0.13,0.004001834730761234
0.14,0.004001834730761234
0.15,0.004001834730761234
0.16,0.004001834730761234
0.17,0.004001834730761234
0.18,0.004001834730761234
0.19,0.004001834730761234
0.2,0.004001834730761234
0.21,0.004001834730761234
0.22,0.004001834730761234
0.23,0.004001834730761234
0.24,0.004001834730761234
0.25,0.004001834730761234
0.26,0.004001834730761234
0.27,0.004001834730761234
0.28,0.004001834730761234
0.29,0.004001834730761234
0.3,0.004001834730761234
0.31,0.004001834730761234
0.32,0.004001834730761234
0.33,0.004001834730761234
0.34,0.004001834730761234
0.35000000000000003,0.01998043359922357
0.36,0.01998043359922357
0.37,0.01998043359922357
0.38,0.01998043359922357
0.39,0.01998043359922357
0.4,0.01998043359922357
0.41000000000000003,0.0210048526860052
0.42,0.0210048526860052
0.43,0.0210048526860052
0.44,0.0210048526860052
0.45,0.0210048526860052
0.46,0.0210048526860052
0.47000000000000003,0.0210048526860052
0.48,0.0210048526860052
0.49,0.0210048526860052
0.5,0.0210048526860052
0.51,0.0210048526860052
0.52,0.0210048526860052
0.53,0.0210048526860052
0.54,0.0210048526860052
0.55,0.0210048526860052
0.56,0.0210048526860052
0.5700000000000001,0.0210048526860052
0.58,0.0210048526860052
0.59,0.0210048526860052
0.6,0.0210048526860052
0.61,0.0210048526860052
0.62,0.0210048526860052
0.63,0.0210048526860052
0.64,0.0210048526860052
0.65,0.0210048526860052
0.66,0.0210048526860052
0.67,0.0210048526860052
0.68,0.0210048526860052
0.6900000000000001,0.0210048526860052
0.7000000000000001,0.0210048526860052
0.71,0.0210048526860052
0.72,0.0210048526860052
0.73,0.0210048526860052
0.74,0.0210048526860052
0.75,0.0210048526860052
0.76,0.0210048526860052
0.77,0.0210048526860052
0.78,0.0210048526860052
0.79,0.0210048526860052
0.8,0.0210048526860052
0.81,0.0210048526860052
0.8200000000000001,0.0210048526860052
0.8300000000000001,0.0210048526860052
0.84,0.0210048526860052
0.85,0.0210048526860052
0.86,0.0210048526860052
0.87,0.0210048526860052
0.88,0.0210048526860052
0.89,0.0210048526860052
0.9,0.0210048526860052
0.91,0.0210048526860052
0.92,0.0210048526860052
0.93,0.0210048526860052
0.9400000000000001,0.0210048526860052
0.9500000000000001,0.0210048526860052
0.96,0.0210048526860052
0.97,0.0210048526860052
0.98,0.0210048526860052
0.99,0.0210048526860052
1.0,0.0210048526860052
