Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
sarathi,long input long output,llama2_7b,1,1.0,124.63,1.4295015879906714,0.04375577505511488,123.59597334451972,0.008023750300890637,50.63788814892081,22.41033459038755,39427.0
sarathi,long input long output,llama2_7b,2,1.0,126.52,1.420661238708999,0.044867011482257246,122.27166292894397,0.015807777426493835,76.46221941195068,32.398039835599114,39427.0
sarathi,long input long output,llama2_7b,3,1.0,127.68,1.4318920211168005,0.045079626264237685,125.72396976740566,0.023496240601503758,113.7531328320802,52.059837092731826,39427.0
sarathi,long input long output,llama2_7b,4,1.0,180.41,3.0279759267228648,0.04587056703536654,171.2398141218349,0.022171719971176763,143.30691203370102,58.34488110415165,39505.0
sarathi,long input long output,llama2_7b,5,1.0,275.2,3.095584419183433,0.04599073157869959,253.69850630522703,0.018168604651162792,134.15697674418604,60.0218023255814,39505.0
sarathi,long input long output,llama2_7b,6,1.0,276.66,3.868422085477505,0.0477349042630985,250.43353203579318,0.02168726957276079,172.2402949468662,67.89922648738523,39505.0
sarathi,long input long output,llama2_7b,7,1.0,284.73,3.999872492114082,0.04971273755583819,254.263168553682,0.02458469427176623,204.7588943911776,74.95873283461525,39505.0
sarathi,long input long output,llama2_7b,8,1.0,286.98,3.965374640072696,0.05063852541691622,252.10782574389592,0.027876507073663667,223.0887169837619,81.58408251446093,39505.0
sarathi,long input long output,llama2_7b,9,1.0,302.82,4.33848447939381,0.0566030390237893,262.6714490496088,0.02972062611452348,246.9453800937851,85.57889175087512,39505.0
sarathi,long input long output,llama2_7b,10,1.0,312.35,5.405597155878786,0.060050263541962676,307.9392842485104,0.03201536737634064,555.5562670081639,181.28381623179123,39505.0
sarathi,long input long output,llama2_7b,10,2.0,306.82,4.962228796095586,0.05922259956018479,265.39587960467895,0.03259239945244769,282.7846946092171,92.2756013297699,39505.0
sarathi,long input long output,llama2_7b,10,3.0,311.89,4.9081354560446915,0.059519773732487576,269.1304224122315,0.032062586168200326,278.18782262977334,90.77559395940877,39505.0
sarathi,long input long output,llama2_7b,10,4.0,304.32,4.985136253130621,0.05955287994138472,263.16414401872305,0.03286014721345952,285.1077812828602,93.03364879074658,39505.0
sarathi,long input long output,llama2_7b,10,5.0,309.44,4.909550985170061,0.0593521757553606,267.87053113324794,0.03231644260599793,280.39038262668043,91.49431230610135,39505.0
sarathi,long input long output,llama2_7b,10,6.0,309.36,4.93667899906868,0.05977573106440105,267.4652680550468,0.03232479958624256,280.462891130075,91.51797258856995,39505.0
sarathi,long input long output,llama2_7b,10,7.0,302.01,4.67807759734569,0.058504035093129556,261.75221801560826,0.033111486374623356,287.2885003807821,93.74524022383365,39505.0
sarathi,long input long output,llama2_7b,10,8.0,313.45,4.958015621884259,0.05992877705707059,270.7973135094856,0.0319030148349019,276.80331791354286,90.32381560057426,39505.0
sarathi,long input long output,llama2_7b,10,9.0,310.62,4.908149113843682,0.05951956120621817,268.5134791332529,0.03219367716180542,279.32522052668855,91.14673878050351,39505.0
sarathi,long input long output,llama2_7b,10,10.0,316.01,5.042189197579863,0.06014708905854559,273.0200832867877,0.031644568209866775,274.5609316160881,89.59210151577481,39505.0
sarathi,long input long output,mistral_7b,1,1.0,124.55,1.48260956001468,0.04370782242081846,123.51514197373764,0.008028904054596548,50.670413488558815,22.42472902448816,39527.0
sarathi,long input long output,mistral_7b,2,1.0,125.74,1.4542272089165638,0.04457088994910532,121.49684459187556,0.01590583744234134,76.93653570860506,32.59901383807858,39527.0
sarathi,long input long output,mistral_7b,3,1.0,127.31,1.4401869083521888,0.0446951986324532,125.31982030444779,0.023564527531222998,114.08373262116095,52.21113816667976,39527.0
sarathi,long input long output,mistral_7b,4,1.0,179.61,3.1005939952330657,0.04574118933055515,170.51576875207246,0.022270474917877623,143.94521463170202,58.60475474639496,39605.0
sarathi,long input long output,mistral_7b,5,1.0,279.12,3.193680645804852,0.04632895357142328,257.62261385731404,0.017913442247062195,132.27285755230724,59.17884780739467,39605.0
sarathi,long input long output,mistral_7b,6,1.0,279.14,3.7615688045625575,0.04760446457676813,253.22304830845678,0.02149459052805044,170.71003797377662,67.29598051157126,39605.0
sarathi,long input long output,mistral_7b,7,1.0,277.12,3.876537516224198,0.0480013519867782,246.4214682203484,0.025259815242494228,210.3817840646651,77.01717667436489,39605.0
sarathi,long input long output,mistral_7b,8,1.0,281.69,3.9013266315683723,0.04841167429982304,246.7105281631229,0.0284000142000071,227.2782136391068,83.11619155809578,39605.0
sarathi,long input long output,mistral_7b,9,1.0,287.74,3.8300558727700262,0.05228519383262571,248.18201352832838,0.031278237297560296,259.8873983457288,90.06394661847501,39605.0
sarathi,long input long output,mistral_7b,10,1.0,293.84000000000003,4.495765033760108,0.05370851965412188,289.54465497562194,0.03403212632725292,590.5526817315546,192.70351211543695,39605.0
sarathi,long input long output,mistral_7b,10,2.0,297.45,4.4724349100375544,0.0537560990473783,253.48785242435977,0.03361909564632712,291.6927214657926,95.18238359388133,39605.0
sarathi,long input long output,mistral_7b,10,3.0,295.43,4.403586058726068,0.05488356028794864,252.556554151466,0.033848965914091325,293.68716785702196,95.83319229597535,39605.0
sarathi,long input long output,mistral_7b,10,4.0,294.67,4.468113717215601,0.05365957384514551,252.35133488378477,0.03393626768927953,294.44463297926495,96.08036108188821,39605.0
sarathi,long input long output,mistral_7b,10,5.0,299.92,4.530723315046634,0.055545569448815946,257.1586903355666,0.033342224593224855,289.2904774606562,94.39850626833822,39605.0
sarathi,long input long output,mistral_7b,10,6.0,269.01,4.1509514007600945,0.053071931439062574,231.0666843720827,0.03717333928106762,322.53076093825507,105.24515817255865,39605.0
sarathi,long input long output,mistral_7b,10,7.0,296.71,4.429433772643096,0.053531226931113146,253.58365693439254,0.0337029422668599,292.4202082841832,95.41977014593374,39605.0
sarathi,long input long output,mistral_7b,10,8.0,295.45,4.112762827158439,0.05335300212737582,252.58643138447067,0.033846674564224064,293.6672871890337,95.82670502623118,39605.0
sarathi,long input long output,mistral_7b,10,9.0,298.47,4.467733062570914,0.05451411095091001,255.3813532542087,0.033504204777699595,290.6958823332328,94.85710456662311,39605.0
sarathi,long input long output,mistral_7b,10,10.0,295.04,4.312105514190625,0.053534849475470006,252.3692991951014,0.0338937093275488,294.0753796095444,95.95986984815617,39605.0
sarathi,long input long output,mixtral_8x7b,1,1.0,123.67,1.5866452418267727,0.0433563324559432,122.6378062106669,0.008086035416835126,51.030969515646476,22.584296919220506,39409.0
sarathi,long input long output,mixtral_8x7b,2,1.0,119.8,1.3816409721388478,0.04207508154674797,115.89644088099011,0.01669449081803005,80.75125208681135,34.215358931552586,39409.0
sarathi,long input long output,mixtral_8x7b,3,1.0,126.3,1.4178174402564763,0.044692323143463955,124.60795796220192,0.023752969121140142,114.99604117181315,52.62866191607284,39409.0
sarathi,long input long output,mixtral_8x7b,4,1.0,175.78,2.8889600525260897,0.04450560306060573,167.11874610166998,0.022755717373990215,147.08157924678576,59.88167026965525,39409.0
sarathi,long input long output,mixtral_8x7b,5,1.0,271.63,2.9852280400227755,0.046069579863696246,251.0528570302762,0.01840739240879137,135.92018554651548,60.810661561683176,39409.0
sarathi,long input long output,mixtral_8x7b,6,1.0,274.83,3.6013873337651603,0.04635141176236278,249.4448034238303,0.0218316777644362,173.3871848051523,68.351344467489,39409.0
sarathi,long input long output,mixtral_8x7b,7,1.0,270.57,3.5106650652131064,0.04519462008860639,240.69909274613013,0.02587130871863104,215.47473851498688,78.88162028310603,39409.0
sarathi,long input long output,mixtral_8x7b,8,1.0,270.31,3.5459092422504908,0.04670531065188964,237.08179757619504,0.029595649439532388,236.84658355221782,86.61536754097148,39409.0
sarathi,long input long output,mixtral_8x7b,9,1.0,278.57,3.731752777751535,0.04807785652380197,240.33738377429543,0.03230785798901533,268.4424022687296,93.02868219837025,39409.0
sarathi,long input long output,mixtral_8x7b,10,1.0,280.275,4.3344933485030195,0.04889671745262072,273.7142925255466,0.03567924360003568,619.1347783426992,202.03014896084204,39409.0
sarathi,long input long output,mixtral_8x7b,10,2.0,276.6,4.131626085867174,0.04869747385889438,235.3077035091933,0.03615328994938539,313.6804049168474,102.35719450469992,39409.0
sarathi,long input long output,mixtral_8x7b,10,3.0,270.6,4.112789846863597,0.04627816949007492,230.14948214826865,0.036954915003695486,320.63562453806355,104.62675535846266,39409.0
sarathi,long input long output,mixtral_8x7b,10,4.0,280.71,4.041536562063265,0.04894461664790507,238.7237230121972,0.03562395354636458,309.0876705496776,100.85853728046739,39409.0
sarathi,long input long output,mixtral_8x7b,10,5.0,281.54,4.1193238781997925,0.04783149543288641,239.47394595389477,0.035518931590537754,308.17645805214175,100.56119911913049,39409.0
sarathi,long input long output,mixtral_8x7b,10,6.0,285.11,4.133032404107507,0.04950635090671395,243.00176786993387,0.035074181894707304,304.31763179123845,99.30202378029531,39409.0
sarathi,long input long output,mixtral_8x7b,10,7.0,284.03,4.161362612852826,0.04932495394518811,241.28715284737982,0.03520754849839806,305.4747737915009,99.67961130866459,39409.0
sarathi,long input long output,mixtral_8x7b,10,8.0,282.71,4.125290533027145,0.04868479906333498,240.33553738015462,0.03537193590605214,306.9010646952708,100.14502493721483,39409.0
sarathi,long input long output,mixtral_8x7b,10,9.0,276.33,4.01221630082,0.04744731709116248,234.99539488409636,0.03618861506170159,313.9868997213477,102.45720696268954,39409.0
sarathi,long input long output,mixtral_8x7b,10,10.0,286.9,4.227259045059326,0.049763356795035414,244.2720438221818,0.03485535029627048,302.4189613105612,98.68246775880098,39409.0
sarathi,long input long output,qwen_7b,1,1.0,126.88,1.5127704900223762,0.04453248373674093,125.8478004997596,0.007881462799495587,49.73991172761665,22.012925598991174,39623.0
sarathi,long input long output,qwen_7b,2,1.0,126.91,1.463653587945737,0.04469384799911739,122.63591426332714,0.015759199432668822,76.22724765581908,32.298479237254746,39623.0
sarathi,long input long output,qwen_7b,3,1.0,127.97,1.4222610421478747,0.04517980542632292,126.00931991590186,0.023442994451824645,113.49535047276706,51.94186137375947,39623.0
sarathi,long input long output,qwen_7b,4,1.0,177.64,3.02742750623729,0.044114370923229666,168.33242239860118,0.022517451024544024,145.5415446971403,59.2546723710876,39701.0
sarathi,long input long output,qwen_7b,5,1.0,282.39,3.497736267279833,0.04756659244445386,260.8546251262072,0.01770600941959701,130.74117355430434,58.49357271858069,39701.0
sarathi,long input long output,qwen_7b,6,1.0,277.72,3.8510390355368145,0.04762277608776714,252.05097838537768,0.021604493734696816,171.5828892409621,67.64006913437994,39701.0
