cdf,batch_num_prefill_tokens
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,0.0
0.08,0.0
0.09,0.0
0.1,0.0
0.11,0.0
0.12,0.0
0.13,0.0
0.14,0.0
0.15,0.0
0.16,0.0
0.17,0.0
0.18,0.0
0.19,0.0
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0
0.27,0.0
0.28,0.0
0.29,0.0
0.3,0.0
0.31,0.0
0.32,0.0
0.33,0.0
0.34,0.0
0.35000000000000003,0.0
0.36,0.0
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
0.41000000000000003,0.0
0.42,0.0
0.43,0.0
0.44,0.0
0.45,0.0
0.46,0.0
0.47000000000000003,0.0
0.48,0.0
0.49,0.0
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.0
0.67,0.0
0.68,0.0
0.6900000000000001,0.0
0.7000000000000001,0.0
0.71,0.0
0.72,0.0
0.73,0.0
0.74,0.0
0.75,0.0
0.76,0.0
0.77,0.0
0.78,0.0
0.79,0.0
0.8,458.9776623632152
0.81,462.6642114256402
0.8200000000000001,463.5904661031691
0.8300000000000001,467.31406561204744
0.84,468.24962930696654
0.85,472.0106516255998
0.86,475.8018828071904
0.87,476.75443912912675
0.88,480.5837728303115
0.89,481.5459025056475
0.9,484.4438640775015
0.91,487.3592656924096
0.92,488.33495991802016
0.93,490.2922123052143
0.9400000000000001,492.25730938349477
0.9500000000000001,496.21116350579666
0.96,497.2045792485511
0.97,498.1999838116113
0.98,503.2069785676056
0.99,506.23529731975384
1.0,512.3467181125903
